Isolate,Host,Leukocidin (lukD),Leukocidin (lukE),Leukocidin (lukF-like),Leukocidin (lukF-PV),Leukocidin (lukG),Leukocidin (lukH),Leukocidin (lukM),Leukocidin (lukS-PV),Staphylococcal protein A (spa),Superantigen protein (set16),Superantigen protein (set19),Superantigen protein (set21),Superantigen protein (set26),Superantigen protein (set31),Superantigen protein (set32),Superantigen protein (set34),Superantigen protein (set36),Superantigen protein (set37),Superantigen protein (set39),Toxic shock syndrome (tsst-1)
21MR0103_S37,Human,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
21MR0385_S69,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
21MR0468_S65,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
21MR0838_S63,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
21MR0935_S18,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
21MR1286_S68,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
A05,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
A06,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB104,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB123,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB130,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB138,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB139,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB140,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB144,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB145,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB152,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB153,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
AB159,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB160,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB162,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB168,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB169,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB215,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB219,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB221,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
AB223,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB228,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB334,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB341,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB354,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
AB356,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB82,Bovine,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
AB83,Bovine,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
AB84,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
AB99,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1003_S431,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1004_S432,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1005_S433,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1035_S438,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1036_S439,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1048_S442,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1051_S443,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1052_S444,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1053_S445,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1055_S447,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1056_S448,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1058_S450,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1065_S452,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1066_S453,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1068_S455,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1069_S456,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1070_S457,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1078_S460,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1095_S463,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1096_S464,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1097_S465,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1098_S466,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1099_S467,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1105_S468,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1110_S470,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1129_S471,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1140_S476,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1143_S4,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1150_S5,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1151_S6,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1162_S10,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1173_S12,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1174_S13,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1178_S14,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1180_S15,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1181_S16,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1183_S17,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1186_S18,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1187_S19,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1188_S20,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1189_S21,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1190_S22,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1191_S23,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1205_S25,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1206_S26,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1209_S27,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1213_S29,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1223_S35,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1225_S36,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1226_S37,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1231_S40,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1235_S457,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1236_S458,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1237_S41,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1238_S42,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1247_S43,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1248_S44,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1249_S45,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1254_S46,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1269_S50,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1270_S51,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1271_S52,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1275_S53,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1276_S54,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1279_S55,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1281_S57,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1282_S58,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1285_S61,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1287_S62,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1291_S63,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1295_S65,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1299_S66,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1300_S67,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1307_S68,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1308_S69,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1309_S70,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1310_S71,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1314_S74,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1315_S75,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1316_S76,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1321_S78,Bovine,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
B1325_S82,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1328_S83,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1329_S84,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1330_S85,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1331_S86,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1333_S88,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1334_S89,Bovine,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
B1336_S91,Bovine,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
B1346_S192,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1348_S193,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1352_S194,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1360_S197,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1361_S198,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1362_S199,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1366_S203,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1367_S204,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1368_S205,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1369_S206,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1370_S207,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1372_S209,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1378_S215,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1383_S216,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1390_S221,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1394_S222,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1400_S224,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1405_S227,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1411_S230,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1416_S231,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1417_S232,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1422_S233,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1423_S234,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1425_S236,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1434_S237,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1436_S238,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1437_S239,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1438_S240,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1439_S241,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1440_S242,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1441_S243,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1442_S244,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1448_S248,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1452_S250,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1455_S253,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1456_S254,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1457_S255,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1458_S256,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1460_S257,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1461_S258,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1462_S259,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1471_S260,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1472_S261,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1473_S262,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1482_S265,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1483_S266,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1484_S267,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1486_S269,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1489_S271,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1498_S568,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1500_S570,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1512_S573,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1513_S574,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1518_S575,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1520_S577,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1522_S578,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1526_S635,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1542_S644,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1546_S645,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1547_S646,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1548_S647,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1550_S649,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1554_S653,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1566_S380,Bovine,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
B1568_S381,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
